臺南市東區衛生所	台南市東區林森路１段４１８號	22.9849348	120.2219427	06-2674085
臺南市北區衛生所	台南市北區西華街５０號	23.0001146	120.2108379	06-2252404
臺南市中西區衛生所	台南市西區環河街９４號	22.995876	120.192395	06-2252403
臺南市南區衛生所	台南市南區南和路６號	22.9606621	120.187913	06-2618578
臺南市安平區衛生所	台南市安平區育平路３１０號	22.9943652	120.1682577	06-2996885
臺南市安南區衛生所	台南市安南區仁安路７０號２樓	23.0498419	120.1757919	06-2567406
臺南市新營區衛生所	台南市新營區三民路７２號	23.307466	120.317153	06-6355696
臺南市鹽水區衛生所	台南市鹽水區武廟路１號	23.3202036	120.2653704	06-6521041
臺南市白河區衛生所	台南市白河區國光路５號	23.352012	120.415777	06-6852024
臺南市柳營區衛生所	台南市柳營區５４之５號	23.2806957	120.3550808	06-6220464
臺南市後壁區衛生所	台南市後壁區３號	23.3665101	120.3550808	06-6872624
臺南市東山區衛生所	台南市東山區２３６號	23.326381	120.404794	06-6802618
臺南市麻豆區衛生所	台南市麻豆區興國路１１一１號	23.1826449	120.248478	06-5722215
臺南市下營區衛生所	台南市下營區中山路二段１３７號	23.2295783	120.2632777	06-6892149
臺南市六甲區衛生所	台南市六甲區中華路１１０號	23.2245477	120.3473103	06-6982013
臺南市官田區衛生所	台南市官田區中山路一段１２８號	23.1928276	120.3162812	06-5791493
臺南市大內區衛生所	台南市大內區2號	23.1421962	120.4011911	06-5761044
臺南市佳里區衛生所	台南市佳里區進學路１５９號	23.1635269	120.177701	06-7224106
臺南市學甲區衛生所	台南市學甲區建國路３８號１樓	23.2302094	120.1817447	06-7833359
臺南市西港區衛生所	台南市西港區中山路３６８號	23.1221524	120.20312	06-7952338
臺南市七股區衛生所	台南市七股區３７９號	23.1195166	120.1011836	06-7872277
臺南市將軍區衛生所	台南市將軍區１８５－６號	23.2140093	120.169779	06-7942007
臺南市北門區衛生所	台南市北門區５０號	23.2866026	120.1242853	06-7862043
臺南市新化區衛生所	台南市新化區健康路十三鄰１４３號	23.0331821	120.3060502	06-5905398
臺南市善化區衛生所	台南市善化區中山路２００號	23.132715	120.30018	06-5837035
臺南市新市區衛生所	台南市新市區中興街１２號	23.0786097	120.2948881	06-5992504
臺南市山上區衛生所	台南市山上區３５－２號	23.098746	120.358199	06-5781013
臺南市玉井區衛生所	台南市玉井區中正路５號	23.1217741	120.4592867	06-5742275
臺南市楠西區衛生所	台南市楠西區中正路２２６號	23.1744223	120.4863952	06-5751006
臺南市南化區衛生所	台南市南化區２２６－１號	23.1079133	120.5624474	06-5771139
臺南市左鎮區衛生所	台南市左鎮區１７２之１５號	23.0300785	120.4242401	06-5731114
臺南市仁德區衛生所	台南市仁德區中山路６０６巷２號	22.9928053	120.2057059	06-2704153
臺南市歸仁區衛生所	台南市歸仁區中正北路１段１號	22.9729106	120.2956039	06-2393309
臺南市關廟區衛生所	台南市關廟區中正路１０００號	22.962749	120.3276666	06-5952395
臺南市龍崎區衛生所	台南市龍崎區新市子１５８號	22.939765	120.412151	06-5941397
臺南市永康區衛生所	台南市永康區文化路５１號	23.016505	120.26125	06-2326507
臺南市安定區衛生所	台南市安定區５９－１號	23.0577829	120.189084	06-5922022
衛生福利部胸腔病院	台南市東區大同路一段69號	22.9872059	120.2114051	06-2705911
德東診所	台南市東區德東街93-1號1、2樓	22.9617895	120.2302552	06-2899616
謝明憲內科診所	台南市東區長榮路２段９３號	22.9905342	120.2205846	06-2086360
徐慶鐘小兒科診所	台南市東區長榮路二段３０６號	22.9913948	120.2216202	06-2369954
石荃小兒科診所	台南市東區裕農一街155號	22.9843232	120.2384791	06-3363558
路加小兒科診所	台南市東區中華東路二段１８５巷２６，２８號	22.985016	120.2333	06-2698925
佳一家庭診所	台南市東區東光路１段１３２號１樓	22.9947107	120.2313806	06-2360513
喜樂小兒科診所	台南市東區東光路１段１０６號	22.9940909	120.2313302	06-2757958
王正賜小兒科診所	台南市東區東安路１００號	22.9933051	120.2266687	06-2008992
林信常診所	台南市東區東安路５０號	22.9920839	120.2264699	06-2362853
呂怡璋小兒科診所	台南市東區前鋒路４１號	22.9902789	120.2126198	06-2748014
幼馨診所	台南市東區裕農路５８４之２號	22.988258	120.234654	06-2680207
